Unnamed: 0,carat,cut,color,clarity,depth,table,x,y,z,price
8454,0.9,Good,D,SI2,63.8,58.0,6.09,6.13,3.9,3806
24589,1.11,Premium,H,SI1,58.4,60.0,6.87,6.83,4.0,4842
1163,0.31,Very Good,F,VS2,62.9,58.0,4.27,4.31,2.7,625
7743,1.19,Ideal,H,SI2,62.0,57.0,6.77,6.81,4.21,4914
13273,1.01,Very Good,D,SI1,61.1,58.0,6.46,6.51,3.96,5619
21416,1.5,Premium,I,IF,62.9,58.0,7.31,7.21,4.57,10332
16709,0.9,Premium,H,VS1,60.2,58.0,6.32,6.28,3.79,4234
2676,0.47,Good,I,VVS1,61.8,62.0,4.94,4.97,3.06,1093
20086,0.34,Ideal,E,SI1,,55.0,4.47,4.51,2.79,596
26221,0.7,Very Good,H,SI1,62.8,57.0,5.61,5.66,3.54,2214
11815,1.01,Very Good,F,SI1,60.8,59.0,6.49,6.53,3.96,4869
20146,0.54,Premium,F,VS2,59.5,58.0,5.36,5.29,3.17,1786
13608,0.3,Very Good,H,VVS1,62.5,59.0,4.26,4.29,2.67,684
11694,0.3,Ideal,E,VVS2,61.3,54.0,4.34,4.37,2.67,837
13003,0.51,Premium,F,SI2,62.3,62.0,5.09,5.02,3.15,956
5704,0.71,Premium,F,SI1,62.7,57.0,5.68,5.65,3.55,2633
22119,0.32,Ideal,G,VVS1,61.2,56.0,4.42,4.44,2.71,814
24476,0.3,Ideal,G,VS1,62.2,55.0,4.28,4.31,2.67,605
22273,1.2,Good,F,VVS1,63.6,57.0,6.71,6.74,4.28,10982
23425,0.35,Ideal,D,SI1,62.3,55.0,4.56,4.52,2.83,827
20338,0.52,Ideal,D,VS2,62.2,56.0,5.13,5.16,3.2,1822
10295,2.1,Fair,F,SI2,,69.0,8.35,8.25,4.94,16506
21026,0.53,Ideal,D,VS2,60.8,56.0,5.24,5.27,3.2,2067
8761,0.6,Ideal,G,VVS2,61.6,55.0,5.44,5.47,3.36,2413
15137,1.06,Ideal,G,SI2,62.3,55.0,6.54,6.49,4.06,3936
4842,0.25,Ideal,H,VS1,61.9,54.0,4.07,4.1,2.53,426
7548,1.03,Premium,H,VS2,61.6,61.0,6.51,6.44,3.99,5364
24189,0.74,Ideal,F,VS1,62.3,56.0,5.79,5.76,3.6,3170
7908,0.75,Premium,G,SI2,58.8,60.0,5.99,5.89,3.49,2070
17387,0.52,Ideal,G,VVS2,62.7,55.0,5.12,5.15,3.22,1906
10385,0.7,Very Good,E,SI1,63.9,57.0,5.55,5.66,3.58,3173
3840,0.82,Ideal,G,VS1,61.9,54.0,5.99,6.03,3.72,3880
21419,0.7,Very Good,E,SI1,61.3,61.0,5.66,5.7,3.48,2275
16099,1.21,Ideal,F,VS1,61.8,56.0,6.84,6.86,4.23,10504
11434,1.17,Ideal,G,VVS2,60.6,56.0,6.87,6.84,4.15,9225
5291,1.03,Premium,G,SI1,58.4,58.0,6.66,6.62,3.88,5249
13931,1.08,Premium,F,SI2,60.2,59.0,6.6,6.65,3.99,4407
5814,1.55,Ideal,E,VS2,61.9,58.0,7.39,7.45,4.59,15293
26570,0.9,Premium,F,SI1,62.0,55.0,6.2,6.16,3.83,4183
19542,0.71,Ideal,E,SI1,59.9,56.0,5.86,5.8,3.49,2704
8279,0.56,Ideal,D,VS2,62.7,57.0,5.25,5.28,3.3,1753
10002,0.54,Ideal,I,VS1,61.9,54.0,5.24,5.29,3.26,1216
24973,0.57,Good,G,VS2,58.2,66.0,5.34,5.45,3.14,1816
25613,0.71,Ideal,G,SI1,61.7,56.0,5.74,5.77,3.55,2518
19595,2.11,Very Good,F,SI2,63.5,55.0,8.08,8.13,5.15,18071
9375,0.32,Ideal,E,VS2,61.3,57.0,4.42,4.45,2.72,702
25599,0.5,Good,F,VS2,63.6,57.0,5.03,5.07,3.21,1436
23563,1.27,Premium,F,VS1,60.3,58.0,7.06,7.04,4.25,10028
4627,0.7,Premium,E,SI1,59.1,62.0,5.8,5.74,3.41,2592
10415,0.65,Ideal,D,VVS1,,57.0,5.58,5.61,3.41,5052
19982,0.3,Ideal,E,VVS2,61.7,53.8,4.31,4.34,2.67,779
18277,0.3,Ideal,E,VVS2,61.9,57.0,4.32,4.28,2.66,1013
8421,0.51,Ideal,G,VVS2,62.0,57.0,5.13,5.1,3.17,1842
9187,0.9,Good,D,SI1,63.9,57.0,6.1,6.04,3.88,3689
1616,0.56,Fair,E,SI1,64.5,61.0,5.22,5.09,3.33,1358
6178,0.5,Fair,E,SI2,58.0,67.0,5.26,5.17,3.02,851
8178,0.76,Ideal,J,VS2,61.7,56.0,5.85,5.88,3.62,2026
16106,0.33,Ideal,F,VVS1,62.4,55.0,4.44,4.47,2.78,955
11134,0.41,Premium,E,VS1,60.1,58.0,4.81,4.84,2.9,1079
10292,1.03,Very Good,G,SI1,63.1,58.0,6.41,6.37,4.03,4903
21987,0.43,Very Good,F,VVS1,61.5,56.0,4.86,4.9,3.0,1358
26030,0.32,Ideal,E,VS2,,55.0,4.36,4.38,2.71,702
15805,0.31,Premium,H,VS2,60.0,60.0,4.43,4.4,2.65,628
26481,0.54,Ideal,G,VS1,62.1,55.1,5.2,5.23,3.23,1745
19945,0.3,Very Good,H,SI1,62.9,57.0,4.26,4.29,2.69,421
3141,0.71,Ideal,G,VS1,62.6,57.0,5.67,5.7,3.56,2930
26739,0.51,Ideal,H,SI1,61.7,55.0,5.12,5.16,3.17,1354
13693,1.51,Good,I,VS1,63.6,57.0,7.14,7.21,4.56,9581
22844,0.41,Ideal,J,IF,62.1,54.0,4.78,4.81,2.98,777
21285,1.06,Premium,F,SI2,62.6,59.0,6.51,6.47,4.06,3901
26277,0.75,Ideal,J,VS2,62.3,57.0,5.81,5.84,3.63,1923
18955,1.23,Premium,H,SI2,62.1,61.0,6.86,6.79,4.24,5648
1761,1.01,Very Good,D,SI2,61.8,57.0,6.42,6.47,3.98,4260
25350,0.35,Ideal,E,VS2,62.4,57.0,4.52,4.55,2.83,767
19505,0.75,Premium,F,SI1,,58.0,5.83,5.87,3.6,2683
8836,0.31,Ideal,D,VVS2,61.6,54.0,4.37,4.4,2.7,840
3833,0.7,Ideal,F,SI2,65.0,53.0,5.61,5.56,3.63,2394
22302,0.7,Good,E,VS1,59.4,61.0,5.79,5.83,3.45,3063
20579,0.7,Premium,G,SI1,62.0,61.0,5.71,5.68,3.53,2352
18357,1.07,Very Good,H,VS1,62.5,56.0,6.52,6.55,4.08,6262
14319,0.34,Ideal,H,IF,61.9,53.0,4.5,4.52,2.79,863
26490,0.53,Ideal,E,SI2,60.9,57.0,5.21,5.23,3.18,1223
9838,2.05,Premium,G,SI1,62.2,56.0,8.19,8.08,5.06,13767
11772,0.41,Ideal,D,VS1,61.0,57.0,4.78,4.82,2.93,1151
26294,0.28,Very Good,F,VVS2,61.6,56.0,4.2,4.23,2.59,707
11701,0.36,Ideal,D,VS1,61.7,55.0,4.58,4.62,2.84,1094
5216,0.56,Ideal,E,VS1,62.3,57.0,5.3,5.26,3.29,1791
4157,0.32,Premium,G,SI1,62.6,58.0,4.35,4.31,2.71,612
6344,0.76,Very Good,E,VS2,63.0,59.0,5.76,5.79,3.64,3162
23475,0.51,Ideal,D,VS2,61.2,55.0,5.13,5.17,3.15,1787
21205,0.42,Premium,D,VS1,60.8,59.0,4.79,4.85,2.93,1179
4358,0.5,Ideal,F,VS1,62.5,57.0,5.09,5.06,3.17,1838
6465,0.5,Premium,G,VS1,59.7,60.0,5.14,5.11,3.06,1746
8788,0.4,Ideal,E,VVS2,61.4,59.0,4.71,4.74,2.9,1106
8239,0.53,Ideal,D,VS2,60.2,57.0,5.26,5.24,3.16,1956
23371,0.31,Premium,H,SI1,62.4,57.0,4.35,4.31,2.7,558
22199,1.1,Premium,D,SI2,62.4,58.0,6.57,6.6,4.11,4640
11569,0.53,Good,E,SI2,63.4,56.0,5.16,5.18,3.28,1141
7584,0.36,Very Good,E,SI1,60.8,59.0,4.56,4.59,2.78,631
24953,2.55,Premium,I,VS1,61.8,62.0,8.7,8.65,5.36,18766
2933,0.9,Very Good,G,VVS2,61.4,60.0,6.18,6.23,3.81,5640
22148,0.5,Ideal,G,VVS2,62.9,57.0,5.11,5.04,3.19,1935
3438,1.1,Premium,F,SI1,59.5,59.0,6.77,6.7,4.01,5821
15124,1.54,Ideal,G,VVS2,62.5,57.0,7.36,7.3,4.58,15197
19834,0.41,Very Good,D,SI1,60.3,63.0,4.8,4.78,2.89,920
9081,0.3,Very Good,G,VVS1,62.1,61.0,4.27,4.3,2.66,789
15250,1.01,Very Good,J,SI2,,59.0,6.34,6.38,3.94,3592
16437,0.83,Ideal,D,SI1,61.9,56.0,6.01,6.04,3.73,4159
23434,0.8,Very Good,E,SI1,62.9,60.0,5.87,5.89,3.7,3146
2095,1.07,Ideal,H,SI1,62.1,57.0,6.5,6.55,4.05,5220
26499,1.2,Very Good,G,SI1,63.5,56.0,6.77,6.7,4.28,6666
22716,0.43,Premium,E,SI2,,60.0,4.87,4.94,2.99,704
11307,0.57,Premium,D,SI1,63.0,59.0,5.27,5.23,3.31,1949
5753,0.4,Ideal,H,VVS2,62.2,56.0,4.75,4.7,2.94,1125
9484,0.7,Premium,H,VS1,61.9,56.0,5.7,5.67,3.52,2367
1020,0.38,Ideal,E,VS2,61.7,55.0,4.68,4.66,2.88,1112
13545,0.32,Ideal,I,VS2,60.3,56.0,4.45,4.44,2.68,576
9578,0.56,Ideal,G,IF,61.7,55.0,5.29,5.34,3.28,2298
21190,0.32,Premium,E,SI1,62.2,58.0,4.39,4.36,2.72,720
24338,0.27,Ideal,F,VVS2,60.0,62.0,4.21,4.22,2.53,583
20482,0.3,Ideal,G,IF,62.0,56.0,4.31,4.3,2.67,956
17403,0.51,Very Good,G,VS2,62.9,58.0,5.06,5.11,3.2,1438
3628,1.24,Premium,J,VS2,62.0,58.0,6.87,6.91,4.27,5128
4764,0.41,Premium,G,SI1,62.7,58.0,4.74,4.7,2.96,923
7760,0.41,Ideal,F,VS2,61.8,56.0,4.78,4.8,2.96,863
8505,1.0,Ideal,D,SI1,62.8,55.0,6.3,6.38,3.98,5639
12717,1.22,Ideal,I,SI2,61.8,57.0,6.9,6.83,4.23,4612
14190,1.01,Premium,H,VS2,62.1,57.0,6.45,6.39,3.99,5120
22778,1.21,Ideal,G,VS1,62.7,54.0,6.8,6.82,4.27,9323
17427,1.4,Very Good,I,SI1,61.3,59.0,7.19,7.23,4.42,7644
11742,1.27,Very Good,F,SI2,61.0,61.0,6.95,7.01,4.26,5330
23595,1.05,Premium,J,VS2,59.4,62.0,6.66,6.58,3.93,3593
5313,0.43,Ideal,E,VVS2,61.7,55.0,4.86,4.87,3.0,1426
6516,0.9,Ideal,E,SI2,61.7,56.0,6.21,6.26,3.85,4034
14815,0.36,Very Good,H,IF,62.3,56.0,4.55,4.58,2.85,865
8341,2.08,Very Good,J,VS2,60.6,61.0,8.24,8.34,5.02,13732
20535,1.93,Premium,H,VS1,60.5,60.0,7.98,8.06,4.85,16941
22090,1.29,Ideal,F,SI2,60.7,58.0,7.0,7.07,4.27,6762
11010,0.9,Ideal,H,VS1,61.8,55.0,6.21,6.14,3.82,4964
4670,0.57,Very Good,G,VS1,59.9,57.0,5.38,5.47,3.25,1934
14662,0.52,Ideal,I,SI2,61.9,55.0,5.17,5.23,3.22,1125
20082,2.02,Ideal,G,SI2,62.0,55.0,8.16,8.1,5.04,18296
24937,0.71,Ideal,H,VVS1,62.0,57.0,5.71,5.75,3.55,2739
8724,0.58,Ideal,E,VS2,62.1,55.0,5.35,5.34,3.32,1761
7454,0.55,Very Good,F,VS1,61.2,56.4,5.28,5.33,3.25,1975
11888,1.0,Very Good,G,SI2,62.8,57.0,6.31,6.37,3.98,4207
25701,0.51,Ideal,F,VS2,61.9,55.0,5.11,5.15,3.18,1591
13240,1.01,Premium,J,SI2,61.2,59.0,6.43,6.37,3.92,3733
14422,1.5,Very Good,D,VS2,62.4,59.0,7.21,7.27,4.52,13287
21331,0.72,Ideal,G,SI1,61.8,56.0,5.7,5.76,3.55,3048
9266,0.7,Premium,J,SI1,61.3,59.0,5.75,5.73,3.52,1827
11305,0.53,Ideal,D,VS2,60.6,57.0,5.24,5.28,3.19,1857
14377,0.53,Ideal,D,VS2,62.2,56.0,5.17,5.18,3.22,1809
14654,2.11,Premium,J,SI2,60.7,60.0,8.2,8.27,5.0,12440
7458,0.41,Good,J,IF,63.6,54.0,4.72,4.75,3.01,827
23269,0.72,Premium,F,VS2,60.8,58.0,5.78,5.74,3.5,2530
2611,1.24,Ideal,J,SI2,60.1,57.0,7.02,6.98,4.21,4783
17471,0.57,Premium,I,VVS1,62.1,58.0,5.25,5.32,3.28,1608
1869,1.14,Ideal,G,VS1,61.4,57.0,6.75,6.81,4.16,8346
22318,1.02,Very Good,G,VS1,62.6,58.0,6.36,6.46,4.01,6301
20815,0.43,Premium,D,SI1,60.1,58.0,4.89,4.93,2.95,830
18428,0.56,Ideal,F,SI1,61.5,55.0,5.32,5.35,3.28,1365
2595,0.5,Ideal,D,VS2,62.6,56.0,5.05,5.08,3.17,1752
21044,0.7,Very Good,G,SI2,59.0,62.0,5.79,5.81,3.42,2872
9906,1.02,Very Good,F,VVS2,62.9,59.0,6.37,6.42,4.02,8940
24646,2.25,Fair,G,I1,64.9,58.0,8.15,8.12,5.28,7069
19247,1.51,Good,J,VS2,64.0,58.0,7.27,7.24,4.64,7062
10932,0.51,Very Good,G,VVS2,60.9,56.0,5.17,5.21,3.16,1768
22505,1.15,Very Good,H,SI2,,57.0,6.68,6.72,4.15,4654
22923,2.02,Fair,I,SI2,64.5,60.0,7.94,7.82,5.08,12592
11795,0.41,Good,E,VVS1,64.1,55.0,4.68,4.71,3.01,1228
4615,0.31,Ideal,H,VS2,61.5,57.0,4.38,4.33,2.68,628
14495,0.39,Premium,E,SI2,60.7,62.0,4.74,4.72,2.87,778
5200,0.55,Premium,F,VS2,59.7,58.0,5.37,5.31,3.19,1698
23948,0.26,Ideal,G,IF,62.2,55.0,4.09,4.13,2.55,605
2370,0.71,Very Good,J,VVS2,61.1,58.0,5.7,5.75,3.5,2226
21907,1.57,Premium,H,VS1,62.8,60.0,7.44,7.36,4.65,11711
25426,0.31,Ideal,E,VS1,61.9,54.4,4.33,4.37,2.69,685
13124,0.41,Premium,E,SI1,61.5,61.0,4.78,4.75,2.93,904
17598,0.47,Good,E,VVS1,65.2,56.0,4.86,4.89,3.18,1613
12920,0.26,Very Good,G,VVS2,62.3,56.0,4.07,4.09,2.54,486
13169,0.36,Premium,F,VS2,62.0,59.0,4.56,4.51,2.81,807
9046,0.38,Ideal,F,SI2,61.3,55.0,4.67,4.69,2.87,568
19133,0.53,Ideal,G,VS2,61.4,55.0,5.23,5.26,3.22,1615
15788,0.35,Ideal,G,VS1,61.9,55.0,4.52,4.53,2.8,706
221,1.01,Very Good,E,VS2,63.4,60.0,6.37,6.31,4.02,6787
7555,0.65,Very Good,G,VVS2,61.3,59.0,5.51,5.61,3.41,2178
10304,2.07,Very Good,I,VS2,60.6,58.0,8.24,8.29,5.01,16378
15184,1.5,Very Good,I,SI1,60.4,61.0,7.35,7.39,4.45,8590
18514,1.22,Ideal,G,VS2,61.4,56.0,6.88,6.9,4.23,8213
5802,0.37,Premium,G,VS2,59.3,60.0,4.71,4.67,2.78,833
22750,0.91,Premium,F,SI1,62.7,59.0,6.23,6.18,3.89,3644
22874,0.57,Ideal,G,I1,,57.0,5.46,5.42,3.24,1019
4092,0.4,Ideal,E,VVS2,61.6,56.0,4.78,4.73,2.93,1056
2761,0.55,Ideal,D,VS2,62.8,57.0,5.27,5.24,3.3,1894
4681,1.91,Fair,H,SI2,64.6,56.0,7.76,7.7,4.99,6632
7380,0.63,Ideal,F,VVS2,61.2,56.0,5.53,5.55,3.39,3351
3332,1.07,Premium,I,VS2,60.7,58.0,6.62,6.66,4.03,4491
21947,1.14,Ideal,H,SI1,60.4,57.0,6.78,6.83,4.11,5861
2977,1.52,Ideal,G,VS2,61.3,59.0,7.35,7.4,4.52,12161
15012,0.38,Ideal,F,IF,60.7,57.0,4.69,4.73,2.86,1212
6001,1.09,Ideal,E,SI1,61.1,55.0,6.66,6.7,4.08,5935
1631,1.8,Ideal,F,SI1,61.9,56.0,7.78,7.87,4.84,14814
6746,1.22,Ideal,J,VS1,61.4,58.0,6.85,6.87,4.21,6201
13999,1.53,Ideal,E,SI2,61.0,55.0,7.44,7.5,4.55,10698
25433,0.52,Ideal,D,VS2,61.6,55.0,5.15,5.2,3.19,1822
13622,0.77,Ideal,D,SI1,61.4,56.0,5.9,5.93,3.63,2996
15204,0.23,Ideal,G,VS1,61.9,54.0,3.93,3.95,2.44,404
25398,1.71,Ideal,J,VS1,61.6,57.0,7.67,7.62,4.71,10821
8964,0.58,Premium,H,VS2,59.7,59.0,5.42,5.33,3.21,1439
8366,0.3,Premium,G,VS1,60.0,60.0,4.33,4.3,2.59,776
19400,1.31,Ideal,I,VS1,61.8,55.0,7.03,7.05,4.35,8611
1857,0.8,Good,F,VS2,60.5,62.3,5.97,6.01,3.62,3283
11387,0.7,Very Good,I,VVS1,62.9,58.0,5.65,5.67,3.56,2513
17659,1.02,Ideal,H,VS2,61.8,55.0,6.48,6.51,4.01,6065
26181,1.18,Very Good,E,VVS2,61.5,58.0,6.78,6.87,4.2,12100
6928,0.32,Good,D,SI1,63.8,56.0,4.35,4.33,2.77,756
22744,0.31,Ideal,H,VVS2,62.8,57.0,4.33,4.3,2.71,802
15955,0.56,Ideal,I,SI1,61.3,56.0,5.28,5.31,3.25,1343
6199,2.02,Ideal,J,VS2,61.8,57.0,8.11,8.14,5.02,14766
5766,0.62,Ideal,G,VVS2,61.6,56.0,5.48,5.51,3.38,2861
2202,0.7,Very Good,F,SI1,61.6,55.0,5.66,5.7,3.5,2230
8826,1.2,Premium,E,SI2,62.6,56.0,6.84,6.77,4.26,6397
24675,0.62,Premium,H,VVS1,61.9,58.0,5.49,5.46,3.39,2232
24886,1.56,Good,I,SI2,58.5,61.0,7.58,7.63,4.45,8048
13260,2.16,Ideal,H,I1,62.2,56.0,8.31,8.26,5.15,8709
2376,1.0,Premium,G,VS2,60.6,59.0,6.42,6.36,3.87,6451
7869,1.0,Good,H,SI1,57.9,54.0,6.68,6.62,3.85,4469
22005,1.1,Ideal,H,VS2,62.6,57.0,6.61,6.56,4.12,4048
3542,0.32,Premium,J,VS1,61.9,58.0,4.39,4.33,2.7,540
8610,1.11,Ideal,D,VS2,61.2,57.0,6.69,6.71,4.1,10443
6275,0.76,Premium,E,SI1,61.6,59.0,5.83,5.79,3.58,2644
8898,1.14,Ideal,F,VVS2,62.7,55.0,6.7,6.6,4.17,9316
23288,0.39,Ideal,F,IF,61.0,56.0,4.72,4.75,2.89,1377
20785,2.02,Very Good,I,SI2,63.3,59.0,7.93,8.0,5.04,11390
14092,1.04,Ideal,H,SI1,59.7,60.0,6.61,6.59,3.94,4812
17289,0.54,Ideal,E,SI1,61.5,55.0,5.24,5.26,3.23,1778
10193,0.32,Ideal,G,VS1,60.8,57.0,4.39,4.42,2.68,645
23018,0.38,Very Good,J,VS2,60.5,60.0,4.64,4.68,2.82,566
7591,0.5,Premium,D,SI2,62.1,57.0,5.12,5.09,3.17,1279
1658,0.51,Premium,I,SI2,60.4,59.0,5.2,5.17,3.13,956
3512,2.29,Premium,H,SI2,62.5,58.0,8.43,8.37,5.25,17666
1151,1.51,Premium,I,VVS1,61.0,61.0,7.47,7.34,4.52,10824
14303,0.8,Very Good,F,VS1,63.6,56.0,5.83,5.94,3.74,3471
25775,0.45,Premium,I,SI2,60.1,59.0,4.96,4.92,3.02,830
15576,0.36,Very Good,E,VS2,59.9,55.0,4.66,4.69,2.8,631
9796,1.11,Ideal,E,IF,61.8,55.0,6.65,6.69,4.12,15464
11602,0.53,Ideal,H,VS1,61.7,56.0,5.21,5.23,3.22,1678
10654,0.31,Premium,H,SI1,61.1,57.0,4.35,4.32,2.65,573
24456,0.32,Very Good,H,VVS1,62.3,56.0,4.35,4.37,2.72,672
21954,1.37,Ideal,G,IF,62.3,54.0,7.11,7.15,4.43,13439
22541,0.36,Ideal,E,VVS2,62.0,54.0,4.56,4.6,2.84,887
12257,0.51,Very Good,G,VS1,62.4,60.0,5.05,5.08,3.16,1752
20158,1.08,Ideal,H,SI1,60.6,59.0,6.61,6.65,4.02,5756
25899,0.36,Premium,F,SI1,,59.0,4.62,4.58,2.81,770
240,0.41,Ideal,D,VVS2,62.5,57.0,4.75,4.72,2.96,1181
1823,0.33,Ideal,E,VS1,62.3,53.8,4.42,4.44,2.76,771
4931,0.3,Premium,F,VVS2,61.1,59.0,4.29,4.32,2.63,737
22626,1.1,Premium,H,SI2,59.2,59.0,6.8,6.74,4.01,3388
19253,0.34,Ideal,E,SI2,61.3,55.0,4.49,4.52,2.76,454
4788,0.3,Ideal,E,VVS2,61.4,57.0,4.34,4.32,2.66,1013
20442,1.22,Premium,H,SI1,60.6,58.0,6.91,6.86,4.17,5063
12950,0.31,Ideal,J,VVS1,62.4,54.0,4.32,4.35,2.7,461
11686,0.62,Very Good,E,VS1,60.1,56.0,5.56,5.58,3.35,2147
2666,0.72,Ideal,E,VVS1,61.4,57.0,5.74,5.79,3.54,4864
17395,0.92,Ideal,G,SI2,61.9,57.0,6.23,6.25,3.86,4406
22340,1.0,Good,F,SI1,63.8,58.0,6.28,6.22,3.99,4586
14447,0.7,Very Good,D,SI1,60.3,60.0,5.74,5.77,3.47,2656
8518,0.3,Ideal,I,VVS1,62.3,55.0,4.29,4.28,2.67,709
24922,0.96,Ideal,G,SI1,62.6,57.0,6.28,6.24,3.92,4355
12245,0.7,Good,H,VS2,,63.0,5.87,5.92,3.34,2187
6642,0.32,Ideal,D,SI2,62.6,56.0,4.38,4.4,2.75,477
15412,1.2,Fair,I,SI1,66.2,59.0,6.55,6.47,4.31,4368
4508,0.9,Very Good,F,SI1,60.4,60.0,6.23,6.29,3.78,3950
19990,0.3,Very Good,H,SI1,,63.0,4.4,4.35,2.6,540
8090,0.71,Ideal,D,VS2,60.4,53.0,5.81,5.85,3.52,3020
18638,0.9,Good,F,SI2,57.9,62.0,6.23,6.35,3.64,3470
8687,0.35,Premium,G,VS1,61.2,56.0,4.56,4.53,2.78,906
